country,founded,id,industry,linkedin_url,locality,name,region,size,website
puerto rico,,b8AJlx26UBsMOs51k7CHqgTRjc7d,,linkedin.com/company/rm-estudio-legal,,rm estudio legal,san juan,1-10,rmestudiolegal.com
germany,,srbWFKWDZLooT3O94iseBgMQDcBd,law practice,linkedin.com/company/kanzlei-majer-&-conzelmann,stuttgart,kanzlei majer & conzelmann,baden-württemberg,1-10,majer-conzelmann.de
iceland,,TlFhBLylVLgVJQoDVWl1qwISHPuA,government administration,linkedin.com/company/instituto-de-ensino-pesquisa-e-políticas-públicas-ie3p,reykjavík-4,"instituto de ensino, pesquisa e políticas públicas - ie3p",,1-10,ie3p.org
united states,,Awg4SRy6ZONgmobA28mTXQyS4mma,law practice,linkedin.com/company/dichter-law-llc,,dichter law llc,,1-10,dichterlaw.com
france,,zPCBetE5YH68n2zDvuhkWwI1Rfui,legal services,linkedin.com/company/scp-alibeu-&-rambaud-groleas,grenoble,scp alibeu & rambaud-groleas,auvergne-rhône-alpes,1-10,
brazil,,5VJi9t23neIj1LckFnaBiQGTXaLc,law practice,linkedin.com/company/leal-e-rosa-advogados-associados,jacarepaguá,leal e rosa advogados associados,rio de janeiro,1-10,lealerosa.adv.br
united states,,TiTqZaiaOcsV4itZnGevFQrRoOM4,facilities services,linkedin.com/company/huntspon’s-lawn-and-landscape,saint louis,huntspon’s lawn and landscape,missouri,11-50,huntsponslawnandlandscape.com
united states,2011,ci3TkejJoBaQg9c3zyNBrwAO4V4E,legal services,linkedin.com/company/petition-pros-llp,coral springs,petition pros llp,florida,1-10,thepetitionpros.com
united kingdom,1760,yOdbjbthcRAzVCANQe5clA3Uw7tg,law practice,linkedin.com/company/gabb-&-co-solicitors,london,gabb & co solicitors,england,11-50,gabb.co.uk
australia,2020,UaE08O6YKCaz8qgIc4oANQJtgX39,management consulting,linkedin.com/company/maygust-trademark-services,,maygust trademark attorneys,,1-10,maygusttrademarks.com.au
germany,,Y1eAqCNYNcLBLkWHqJdJCgJogzXw,law practice,linkedin.com/company/kanzlei-knoche-lenz-tigges,hamburg,"kanzlei knoche-lenz, tigges",hamburg,1-10,knoche-lenz-tigges.de
united states,,AIdvn6Mc1GBfSGPK4AAyXgAdfGCM,legal services,linkedin.com/company/luvisi-legal-nurse-consultant-services-inc,coweta,"luvisi legal nurse consultant services, inc.",oklahoma,1-10,luvisinurseconsultant.com
united states,,NIz6oo941YTYXjWjmVyRhg0P20ef,legal services,linkedin.com/company/nichol-charles-e,san francisco,nichol charles e,california,1-10,
united states,,pdRDpIp5uYWUC7VAC1qtVAA31LIr,,linkedin.com/company/vibrant-couples-&-individual-counseling,,vibrant couples & individual counseling,colorado,1-10,vibrantcouplescounseling.com
united states,,oy7MafYUCMI7ziVHJNh5mQ0q6mWk,law practice,linkedin.com/company/marion-county-prosecutor's-office,indianapolis,marion county prosecutor's office,indiana,201-500,
united states,,OpSCZpKs4CjatRjFXiWucApIxMxI,,linkedin.com/company/tom-stevens-counseling,houston,tom stevens counseling,texas,1-10,tomstevens.us
turkey,2024,ECKBWC4eAHr1sChvJxMSFQpW5hKu,legal services,linkedin.com/company/haktan-hukuk,,haktan hukuk ve danışmanlık,i̇zmir,1-10,haktanhukuk.av.tr
united states,2015,chrmjFLBS4fCgwvjnVv3LwwCG3YW,non-profit organization management,linkedin.com/company/legalhand,new york,legal hand inc.,new york,1-10,
,,DIJCQF0778yA4KHHvNKiBwhyXeij,legal services,linkedin.com/company/sokolowski-legal-services,,sokolowski legal services,,1-10,sokolowskilegal.com
portugal,,kbSZWdo9BJtvWnu5kvPkBQ3qnkgJ,law practice,linkedin.com/company/oadvogado-portugal,,oadvogado portugal,porto,1-10,oadvogado.pt
united states,2006,O92F1CA0XIfmC5ZGxoBLJAgP8wFq,law practice,linkedin.com/company/owens-law-group,richmond,owens law group,kentucky,1-10,owenslg.com
panama,2021,fxwEjjfOOA24gw0cYHBqlQNkRdjM,law practice,linkedin.com/company/consulta-lepanama,,consulta-le panamá,panamá,1-10,consulta-le.com
vanuatu,,AYQBavow0E1d8lEytOE7FAYrRG2I,accounting,linkedin.com/company/law-partners-vanuatu,port vila,law partners vanuatu,shefa province,11-50,lawpartnersvanuatu.com
new zealand,2015,SQQhgQGVCsfuvGToUixAHwliqTfE,law practice,linkedin.com/company/doug-cowan-barristers-&-solicitors,,doug cowan barristers & solicitors,auckland,1-10,dougcowan.net.nz
united states,,yhZnTBzYlnQbsKwnSu8FWAIJseNK,law practice,linkedin.com/company/tressler-law-llc,scranton,"tressler law, llc",pennsylvania,1-10,tresslerlawllc.com
spain,,VPX4ZdBeONVufFpeAaILBQm2cKeA,,linkedin.com/company/gestion-legal-de-patrimonio-sl,ponferrada,gestion legal de patrimonio sl,castilla and león,11-50,
united states,,B657mHkWC7CMExsgye4UHg3gv4Om,individual & family services,linkedin.com/company/new-bridge-counseling-services,,new bridge counseling services,california,1-10,
peru,,R36kilVAgFKQoBnCeTPp2QeDDHj4,legal services,linkedin.com/company/parada-gamarra,arequipa,parada & gamarra estudio jurídico,arequipa,11-50,paradagamarra.pe
united states,,iC76SYP2cn5BhxJYULzy3wqdLtSv,non-profit organization management,linkedin.com/company/national-association-of-property-tax-attorneys,,national association of property tax attorneys,new york,11-50,napta.com
mexico,,zKcvKg9BgPrVJgAiNj4qewFYFBrV,,linkedin.com/company/firma-legal-mexicana,,firma legal mexicana,nuevo león,1-10,marcaypatente.mx
italy,,Li9cy6P5tFhWw4oBTCjmJwolptZI,,linkedin.com/company/studio-legale-avv.-annalisa-parisi,magenta,studio legale avv. annalisa parisi,lombardy,1-10,avvocatoparisi.com
,,rTKa7UVCw9CrKJsyBTGu0AiTTrMg,legal services,linkedin.com/company/lazinga,,lazinga!,,1-10,lazinga.com
united states,,ZnxJACfUjPCH0nFhF6gmMQoFgob4,law practice,linkedin.com/company/hadwan-khalil-llp,san diego,"hadwan khalil, llp",california,1-10,hklawllp.com
united kingdom,,AN9X7qg3ihBf8fyzZBJdxgAHkuMG,sports,linkedin.com/company/pinner-west-end-lawn-tennis-club,pinner south,pinner west end lawn tennis club,england,1-10,pinnertennis.co.uk
united states,,JapiKxBQB6SgRwGQ2tOoyAA676yG,,linkedin.com/company/the-sumwalt-group-workers'-comp-and-trial-lawyers,charlotte,the sumwalt group workers' comp and trial lawyers,north carolina,1-10,sumwaltgrouplaw.com
australia,2009,kDLBdCBN6jaFHyJMRSAwQg3fTbpD,law practice,linkedin.com/company/perez-varela-lawyers,sydney,perez varela lawyers pty ltd. - marn 1172109,new south wales,1-10,pvlawyers.com.au
united states,,SVgR9P7jQBisarYjNOycjAgL2Jw4,mental health care,linkedin.com/company/desert-solace,george,abc counseling services,iowa,1-10,southernutahtherapy.com
argentina,,6htuwqwLCdmRI8cUCJwCYAAJEvoj,legal services,linkedin.com/company/norabogados,colonia 5º ensanche de mayo,norabogados,entre ríos,1-10,
,,5X8vAwDy1ETVb6jbmMSj5Q3EB3IP,legal services,linkedin.com/company/gabriella-rozankovic-avocate-inc,,gabriella rozankovic avocate inc.,,1-10,
france,,POjbZCjCBSQYVKAgJrVsQQLP17TJ,,linkedin.com/company/ulamir-centre-social-presquile.fr,crozon,ulamir-centre-social-presquile.fr,bretagne,1-10,ulamir-centre-social-presquile.fr
colombia,,8RBFpNBcETjC4i1pjL1yRg54CclO,,linkedin.com/company/cds-international-sas---estrategia-legal,puerto bogotá,cds international sas - estrategia legal,cundinamarca,1-10,estrategialegalcds.com
united states,,KPC0DS703GCsDrrHwA0SrQdpGfnH,mental health care,linkedin.com/company/the-door-counseling-center,,the door counseling center,,1-10,thedoorcounselingcenter.com
united states,,6itSgm659Mn7UzwstuGZoQzyJERp,civic & social organization,linkedin.com/company/interfaith-counseling-service,scottsdale,interfaith counseling service,arizona,1-10,
united states,,678BZdtemnfU1PwQ0qgXVAAN3S6O,,linkedin.com/company/top-cut-lawn-and-landscaping-llc,milledgeville,top cut lawn and landscaping llc,georgia,1-10,topcutga.com
brazil,,C4ZPoOvbl3RQsTdwQINe5gGUgZ02,legal services,linkedin.com/company/carvalho-oliveira-advocacia,manhuaçu,carvalho oliveira advocacia,minas gerais,1-10,carvalho-oliveira-advocacia.negocio.site
united states,,oYCsij9lQS8aapkh88BJkQgF2npg,legal services,linkedin.com/company/secrest-legal-services,dallas,secrest legal services,texas,1-10,
brazil,2004,9HYr9BuaWcx0xCOo7Q9uzAT1qfnM,legal services,linkedin.com/company/benedito-pereira-advocacia,ribeirão preto,benedito pereira advocacia,são paulo,11-50,beneditopereira.com.br
united states,,yBXMACCGv4XEGyLNTe1uPATZ89R0,law practice,linkedin.com/company/mark-e-jacobs-p-c-,dallas,"mark e. jacobs, p.c.",texas,1-10,markejacobslaw.com
bermuda,,EwceqV99acP99ahPiA2ATwjhYCXk,law practice,linkedin.com/company/mussenden-subair-limited,,mussenden subair limited,,1-10,mussendensubair.com
malaysia,2016,iqnh9o400WOd0cy1OHtm7w1XNSXS,legal services,linkedin.com/company/24justice.pk,kuala lumpur,24justice lawyers and legal services,kuala lumpur,11-50,24justice.pk
,,LNBVxHO1ck5dNVKBHDK8aAFMYk4Y,law practice,linkedin.com/company/hukuksal,,hukuksal,,1-10,hukuksal.net
mexico,2007,nZHLsZValn1ZnsezjTaRywWeANMT,legal services,linkedin.com/company/alvarezasociadospv,marina vallarta,álvarez & asociados puerto vallarta,jalisco,1-10,alvarezyasociadospv.mx
united states,,aARucBp7fZAJZK3R33fjvAXsavwN,legal services,linkedin.com/company/winer-meheula-&-devens,honolulu,winer meheula & devens,hawaii,1-10,pacificlaw.com
united states,,rT2KKzGiodT2rL89vP50wQrmmARu,mental health care,linkedin.com/company/pima-counseling-llc,tucson,pima counseling llc,arizona,1-10,pimacounseling.com
,2017,AaGPmAveZM6ZRTiCgtEbiQZNVZj9,law practice,linkedin.com/company/liberaglossa,,libera glossa,,1-10,liberaglossa.com
united states,,Lr5XeEQRTyRqGA50weHlDg2nEF7C,,linkedin.com/company/tnt-lawncare-llc,muncie,tnt lawncare llc,indiana,1-10,
united kingdom,,F5lPJLNNtKV9AW7C2BuqGA2T4BZR,international affairs,linkedin.com/company/centre-for-global-constitutionalism,st. andrews,centre for global law and governance,scotland,11-50,cgc.wp.st-andrews.ac.uk
united states,,5t4g4JkjFKB4fjrYYGclbw6DnbBJ,law practice,linkedin.com/company/james-l.-fine-attorney-inc,louisville,"james l. fine attorney, inc",kentucky,1-10,jameslfine.com
netherlands,,rDDkDhZFHJyJo1tNeWolywkmjoyq,legal services,linkedin.com/company/appel-strafrechtadvocatuur,amsterdam,appel strafrechtadvocatuur,north holland,1-10,advocaatappel.nl
united kingdom,1996,SHxUM2C7019ev6NZdEu8IgT9CEuc,legal services,linkedin.com/company/equity-legal-services-limited,cheadle hulme,equity legal services limited,england,1-10,
france,,aT0LWdzndsjl0DCBFFRkcwQQzNXs,legal services,linkedin.com/company/gb2a-avocats,caen,gb2a avocats,normandie,1-10,
spain,,40ax0d8rFtfvGCjcMcrSXw25dztt,legal services,linkedin.com/company/despacho-martin-&-olmo-slp,granada,despacho martin & olmo slp,andalusia,1-10,
united states,,o6Wal4jgThBosAX5IwWLyAtaiQFR,,linkedin.com/company/the-antonini-law-office,toledo,the antonini law office,ohio,1-10,antoninilawyer.com
norway,,1Iypt0v4BsWpbirji6gbVwsddjd6,law practice,linkedin.com/company/landsviklarsen,bergen,advokatfirmaet landsvik & larsen as,vestland,1-10,llco.no
united states,2013,lRTUSXHfXgz1fBj6q9mwxgzGYGa0,,linkedin.com/company/jaworski-lawn-landscaping,toledo,jaworski lawn & landscaping,ohio,1-10,facebook.com/jaworski-lawn-landscaping-488964171214302
united states,,EWLZvfdWwmpveLKjiqvNIAxT1Q60,legal services,linkedin.com/company/chambless-higdon-et-al,macon,"chambless, higdon et al",georgia,11-50,
united states,2010,Y4jJ0a8LwUQbLG68G8qVWg8JTtx0,law practice,linkedin.com/company/prince-&-cotler-llc,stamford,"prince law group, llc",connecticut,1-10,princelawgroup.com
united states,1983,euJhj6tL6CBKyfWHUcsXBAD02JU8,legal services,linkedin.com/company/tristar-software,atascadero,"tristar software, llc",california,1-10,tristarsoftware.com
united states,2019,CgjBxVYB59XxzcrpMRjzIQO6RHUN,law practice,linkedin.com/company/vecchio-bloomenstiel-pllc,plano,vecchio | bloomenstiel pllc,texas,1-10,vbloomlaw.com
united states,2009,VCJ0C2LbEpvSGpkQCiZmIwSIYB9n,law practice,linkedin.com/company/lucas-burke-attorney-at-law,charlestown,"lucas burke, attorney at law",massachusetts,1-10,lucasburke.com
united states,,7wTYtYCUG1o2UuiSMBOetAWfbi9t,law practice,linkedin.com/company/shen-medicine-&-pediatric-associates-apc,san jose,"shen medicine & pediatric associates, apc",california,1-10,medicinepediatrics.com
denmark,2015,3Y5rczuJB6z3yKhFva0EWwDMClBj,legal services,linkedin.com/company/ghiladi-&-dalsgaard-advokatfirma-i-s,vejle,ghiladi & dalsgaard advokatfirma i/s,south denmark,1-10,gdlaw.dk
united states,,bpJ0pJ98sugvhYQo8WfGqwpJvl6t,legal services,linkedin.com/company/wolk-neuman-maziarz-&-lanzet,center moriches,"wolk, neuman, maziarz & lanzet",new york,1-10,bankruptcy-newyork.net
italy,,qvTXfuzPZN0mdv4Vxk1B2Qz5mkQK,legal services,linkedin.com/company/cocco-studio-legale,,cocco studio legale,lombardy,1-10,coccostudiolegale.it
united states,,Nzye2hCCtFavF7R8bEjZ0g3rkj8J,mental health care,linkedin.com/company/flackett-counseling,sudbury,flackett counseling,massachusetts,1-10,
,2015,iCIQ6ZLfHBIPBHk6BFCCxgoa7Ehe,legal services,linkedin.com/company/barcenapadillaabogados,,"barcena padilla abogados, s.c.",,1-10,barcenapadillaabogados.com
united kingdom,2007,URhyWnO9u8BRWk9iMmfHDgt0A3qk,law practice,linkedin.com/company/vicarage-court-solicitors,birmingham,vicarage court solicitors,england,11-50,vicaragecourt.com
united states,2013,JTnbpsUTRfyZOQBB3slyoQdihnPX,legal services,linkedin.com/company/pulse-global-services-limited,austin,pulse global services limited,texas,11-50,
united states,,kcBJ7dnpBaINFmVBZ7FEWA1NdcyA,law practice,linkedin.com/company/beehivebankruptcy,salt lake city,blue bee bankruptcy law,utah,1-10,
united states,,d8oZdpHH03y1Cwj3ukCXpAWYsUH4,legal services,linkedin.com/company/mark-d.-pastor-a-law-corporation,encino,mark d. pastor a law corporation,california,1-10,
united kingdom,,LIIeoBbRYfm5pgoE8djrpg5TUlHB,,linkedin.com/company/4a-law-ltd,crawley,4a law ltd,england,1-10,
united kingdom,1970,yath0tDBgxM9oLdB0W4TWwgaOjMd,legal services,linkedin.com/company/north-kensington-law-centre,london,north kensington law centre,england,11-50,nklc.org.uk
united states,,lUR9InV84H4PIQpkCBs7SQLFcRD8,individual & family services,linkedin.com/company/stemm-lawson-&-peterson-funeral-home,elkhart,stemm lawson & peterson funeral home,indiana,11-50,stemmlawsonpeterson.com
united states,,zlF3kdp23qh3uUJJ4CBeZQrhatkG,,linkedin.com/company/princi-mills-law-pc,hyannis,princi mills law pc,massachusetts,1-10,princimills.com
canada,,eZqvPW9kJhStzg88p4l4TQLS2WQX,legal services,linkedin.com/company/sheppard-braun-&-muma,regina,sheppard braun & muma,saskatchewan,1-10,sbmlawsk.ca
germany,,lGGxV9TAPpfXrHZkQwHwEQAhGF6N,legal services,linkedin.com/company/kanzlei-fkf,,kanzlei fkf,,11-50,kanzlei-fkf.de
france,,xxXhynD4mXBooaij2wgWtQ3nPBXj,legal services,linkedin.com/company/benichou-audrey,bonchamp-lès-laval,benichou audrey,pays de la loire,1-10,
united states,,Ws63HIAYcVjk2MF8zz0fUAFDbtTp,law practice,linkedin.com/company/judge-advocate-generals-school,charlottesville,judge advocate generals school,virginia,201-500,
,,08sc9iFD8TTi7eIRFrJ7lgkVwlcy,legal services,linkedin.com/company/unperfect-united,,unperfect united,,1-10,unperfect.global
united kingdom,2004,UuMseTqhC24FCpyrkeNNVgYsfJmn,legal services,linkedin.com/company/worldwide-immigration-ltd,,worldwide immigration ltd,,1-10,worldwideimmigration.co.uk
,,pvQGLBro3o2ysHsGM3yXXw3jdq0Q,law practice,linkedin.com/company/canadaforimmigration,,black bear canadian immigration consulting,,1-10,canadaforimmigration.com
brazil,2000,z58z0yhppZECZee9GZlwLAbbUhRQ,legal services,linkedin.com/company/paulo-freitas-ribeiro-advogados-associados,rio de janeiro,paulo freitas ribeiro | advogados associados,rio de janeiro,11-50,paulofreitasribeiro.adv.br
united states,,kPWn7QJ4hUXfcJM39HgQvA74QKrQ,law practice,linkedin.com/company/jwlaw,washington,jw law,district of columbia,1-10,jwlawdc.com
brazil,2016,p5bfASmsafW03SKGbDNDBwZ0bHCr,legal services,linkedin.com/company/pinheiro-borges-vieira-advogados-associados-s-s,goiânia,pinheiro vieira advogados associados,goiás,1-10,pinheirovieiraadvogados.wordpress.com
brazil,,ORuNIqRDCjGHSV11XbC9Owci7GKL,legal services,linkedin.com/company/peixoto-e-ferreira-advocacia,porto alegre,peixoto e ferreira advocacia de atenção integral,rio grande do sul,1-10,facebook.com/peixotoeferreiraadvocacia
united states,,8GiF5KHcNiMWeOL7LjowTgkMNggE,individual & family services,linkedin.com/company/heart-to-heart-counseling-of-maryland,germantown,heart to heart counseling of maryland,maryland,1-10,heart2heartofmd.com
united states,,TVNc54BaMCTLboaztoTjjgvxNmIN,,linkedin.com/company/maywood-ip-law,herriman,maywood ip law,utah,1-10,maywoodip.com
spain,2006,2jsR9dzElpnFxGhwsmgesAztMUJZ,law practice,linkedin.com/company/aliter-abogados,valencia,aliter abogados,valencian community,11-50,
ukraine,1991,YzqJBCuZZfxnVTgUdg7eBAkIYkEU,legal services,linkedin.com/company/frishberg-&-partners,,frishberg & partners,,11-50,frishberg.com
united states,2014,g32ygmFTqviSf0xd20uPtwsyWQqE,law practice,linkedin.com/company/gruber-&-gruber-p-a-,coral gables,the estate plan,florida,11-50,tepfl.com
ukraine,2005,QL4t2oG7A7YGIloRCMFUiQBRkLhK,legal services,linkedin.com/company/agreca-law-firm,kyiv,agreca law firm,mykolaiv,1-10,agreca.ua
india,,5yOxCCqxFB0TufF9orKL1gduK5U6,legal services,linkedin.com/company/aacharya-chanakya-law-college,bhīlwāra,aacharya chanakya law college,rajasthan,1-10,aclcollege.in
united states,2009,l9gBMg2bMymPMj8L6BndkgACBd0f,legal services,linkedin.com/company/community-environmental-defense-council-inc-,ithaca,"community environmental defense council, inc.",new york,1-10,cedclaw.org
turkey,,XqRywROBBezr0e4USthU4wqbDRFm,law practice,linkedin.com/company/doğan-yeniocak-law-firm,gayrettepe,cem yeniocak law firm,istanbul,1-10,cemyeniocak.av.tr
brazil,2024,ozguFfHkODirNyriLlzihAwtnDLv,law practice,linkedin.com/company/advtlda,brasília,tourinho leal drummond de andrade advocacia,federal district,1-10,tlda.com.br
spain,,1MkrLDyYQBsMS3GMRLOCMw2S6rk0,legal services,linkedin.com/company/smit-legal-&-compliance,albacete,smit legal & compliance,castilla-la mancha,1-10,dannysmit.nl
united states,,9kw3HDF36NiTA0bZ2PweHQ1Aq0gp,environmental services,linkedin.com/company/total-lawn-care-of-florida,orlando,total lawn care of florida,florida,11-50,
united states,,jx0npFGHPxtSnC1iHXWvsgfRSazd,legal services,linkedin.com/company/hockensmith-mckinnis-hamill-p.c,saint louis,"hockensmith mckinnis hamill, p.c",missouri,1-10,
,,R3niWx3JrGz8m5EBXuH1zwd8nqV8,law practice,linkedin.com/company/balestrawebb,,balestrawebb law,,1-10,balestrawebb.com
spain,,cJ9ogRmU8fuB3lXzBinPiA01wAga,legal services,linkedin.com/company/estudio-legal-&-finanzas-sl,bilbao,estudio legal & finanzas sl,basque country,11-50,
netherlands,,FtQB8YjK67rDfUI0xbP10QK48m5k,law practice,linkedin.com/company/sjã¶crona-van-stigt-advocaten,'s-gravenhage,sjöcrona van stigt advocaten,south holland,11-50,
united states,,uGyL5kGXmYxMDYC5emuiQwO9wDHM,legal services,linkedin.com/company/russell-m.-woods,cranford,russell m. woods,new jersey,1-10,
united states,,HLbh06IiH2oMWHs8OY9rSAR0OvsN,law practice,linkedin.com/company/masten-peterson-&-denbo-llc,orlando,masten peterson & denbo llc,florida,11-50,mastenlyerly.com
united states,1962,fRaK5juiikkwU0hVQqLBNAPLMW3H,law practice,linkedin.com/company/skills-development-services,tullahoma,skills development services,tennessee,1-10,skillsdevelopmentservices.org
india,,FmcQM94MOBvYRdMDuY2ogwsDNLY9,legal services,linkedin.com/company/pkj-associates,,pkj & associates,delhi,11-50,
united states,2012,Iua3HmBZgW07RXqMbkvPKgJbv0X2,legal services,linkedin.com/company/advokat-konsultan-hukum-m-mahiruddin-p-lubis-sh,white plains,"advokat & konsultan hukum m.mahiruddin p. lubis, sh",maryland,1-10,advokatm2plubis.com
united kingdom,2003,w6gCcxYCiP5DGinHyZSclwor9dPN,legal services,linkedin.com/company/uprights-solicitors-limited,leek,uprights solicitors limited,england,1-10,uprights-solicitors.co.uk
united states,,i5ntT7RwAnhBy3nyDtCx6we3So8S,,linkedin.com/company/mcgookey-law-offices,columbus,mcgookey law offices,ohio,1-10,
,2010,6Df38B5M0CGhQvtaUctIhgzE8HLB,education management,linkedin.com/company/edgecollegecounseling,,e.d.g.e  college counseling,,1-10,edgecollegecounseling.com
italy,1991,uQF9392CB7ynqBl60G4fIgx8hRFo,legal services,linkedin.com/company/iusway-penalisti-associati,,iusway penalisti associati,lombardy,1-10,iusway.it
belgium,,pPP2agbMLutO7VExkbPQzAah43NK,legal services,linkedin.com/company/advocatenkantoor-emmanuel-koslowski,sint-niklaas,advocatenkantoor emmanuel koslowski,flanders,1-10,
united states,,8yXgPOFfQmhiAP0XrtyjLAUaq3n7,legal services,linkedin.com/company/the-law-office-of-brett-a.-clancy,washington,the law office of brett a. clancy,pennsylvania,1-10,brettclancylaw.com
united states,,Qo6o0TDqAFItrAyhZMhf7geU7pFW,facilities services,linkedin.com/company/tusing-lawn-care,manchester,tusing lawn care,pennsylvania,11-50,tusinglawncare.com
united states,,C8oAurCvzpD2haB4NStVgwMyr0Ln,individual & family services,linkedin.com/company/hometown-christian-counseling-and-family-services,loganville,hometown christian counseling and family services,georgia,1-10,hometownchristiancounselingandfamilyservices.com
,,rVHwbctyguc99nB0Th5BoQZPlV1b,law practice,linkedin.com/company/romanomartinsadv,,"gama, klouri e romano advogados",,1-10,
belgium,,B1q07ZORRdDuXvVKquov4gzbOwJz,legal services,linkedin.com/company/notaris-sven-heyvaert,hamme,notaris sven heyvaert,flanders,1-10,notarisheyvaert.be
india,2004,tDj7sRIB34rSVXPUDZEeeAJFNyV7,legal services,linkedin.com/company/legalcube,,legalcube,west bengal,1-10,legalcube.in
united states,,aDs8uBLK8Gy6ZJO1PWbTGAianrDB,facilities services,linkedin.com/company/mowtivated-lawn-care,lexington,mowtivated lawn care,kentucky,1-10,
united states,,HcPQwUt3tGjFFRKtglC3Bw9mXDEn,hospital & health care,linkedin.com/company/empowered-living-counseling-and-life-coaching-llc,warner robins,"empowered living counseling and life coaching, llc",georgia,1-10,
germany,,A84sFu6yK3qpGsZASo6XEQZy9OuR,law practice,linkedin.com/company/rechtsanwaltskanzlei-hein,bernau,rechtsanwaltskanzlei hein,brandenburg,1-10,rechtsanwaeltin-hein.de
united states,2009,dNBuDlrxDKL6lVSA7TbEjAsJgdtW,law practice,linkedin.com/company/peter-m.-feaman-p.a.,boynton beach,"peter m. feaman, p.a.",florida,1-10,feamanlaw.com
united states,,CBSBzoYpG0vdnwgPr8DoJQWOE6SC,medical practice,linkedin.com/company/novus-vita-counseling-pllc,manchester,"novus vita counseling, pllc",new hampshire,1-10,novusvitacounseling.com
sweden,,I1ADumXRtEdnYCAmbjLTRw4SSGQf,legal services,linkedin.com/company/fastighetsjuristerna-göteborg,göteborg,fastighetsjuristerna göteborg,västra götaland,1-10,fjg.se
cyprus,2015,aRHdFne8gSv4n7UDM5Q2BgyInr5x,law practice,linkedin.com/company/vrikislegal,,g. vrikis & associates llc,,11-50,vrikislegal.com
italy,2017,apaNJnBrtuVLy6cCBt511ALtuplo,judiciary,linkedin.com/company/dmrlegal,bari,dmr legal,apulia,1-10,dmrlegal.it
united states,,tUYIWhVZG0Neise4WErbdAx7TmVy,law practice,linkedin.com/company/emerald-society-of-the-federal-law-enforcement-agencies-inc,rochester,emerald society of the federal law enforcement agencies inc,new york,1-10,
brazil,2018,hHXIAxpICI4z1ieBO8LeqwxvsUpX,information technology and services,linkedin.com/company/hi-law,curitiba,hi-law,paraná,1-10,hi-law.com.br
united states,,LI6a3xlx08MUpWtQIPxNXAQh0Mhk,,linkedin.com/company/the-law-office-of-william-r-buie-iii-pa,baltimore,"the law office of william r buie iii, pa",maryland,1-10,buielaw.com
united states,,ChJgqkOIV6HLEb1Kk3gkFQDuhlMF,law practice,linkedin.com/company/auzer-consultora-juridica,long beach,auzer consultora juridica,california,1-10,auzerconsultora.com
united states,2019,Ct48QBielXriQB8bPaEMQAqbAPiW,legal services,linkedin.com/company/virtual-notary-network,pembroke pines,virtual notary network,florida,1-10,
chile,,1l4FmCIqo52eAarSOdzJDQ3nAQvj,law practice,linkedin.com/company/palacios-y-palacios-ltda,santiago,palacios y palacios ltda,santiago metropolitan,1-10,
,,p0moWISMzQfmHTu0CIZy2gZoKh2l,legal services,linkedin.com/company/herald-street-law,,herald street law,,1-10,heraldstreetlaw.com
united states,2015,OHBKOHI4VDBQ7fCU2CoyngpftzLA,legal services,linkedin.com/company/aghabilaw,norwalk,aghabilaw,california,1-10,aghabilaw.com
argentina,2007,ssi5wzLWP6U9hFJIBXEEJQjRvc9K,law practice,linkedin.com/company/cervantes-asociados,san miguel de tucumán,cervantes y asociados,tucumán,11-50,
united states,,CfM2LtfNA0lwOh5NZqboIwvMb6SR,law practice,linkedin.com/company/simon-&-shingler-llp,,"simon & shingler, llp",,11-50,
united states,,ZiRaVnRjW5heCICqKdtf7AiyYnkf,law practice,linkedin.com/company/canarick-&-canarick,red bank,canarick and canarick - attorneys at law,new jersey,1-10,canarick-law.com
canada,2015,N5EAfhNAmaRoBS49roFnGASvmoXR,law practice,linkedin.com/company/haghani-law,burlington,haghani law,ontario,1-10,haghanilaw.ca
spain,2014,As8phek8xjWe4mV4FU6KRgy3EAhD,legal services,linkedin.com/company/frombcn-consulting-empresarial-sl,barcelona,frombcn lawyers,catalonia,1-10,
,,MwJQ6Maxx7YydR8Cqv2oyAmF6WwM,legal services,linkedin.com/company/evcperu,,estudio velásquez-cruz,,11-50,
switzerland,2005,C4Tz1w7860fELxbbOrSX4gd5YJuY,legal services,linkedin.com/company/notaires-associes,lausanne,notaires associes,vaud,11-50,notaires-associes.ch
singapore,,LCEgxVwiM9gVnzyarQdSOgzlt7vO,mental health care,linkedin.com/company/almagaia-counselling,singapore,almagaia counselling,,1-10,almagaiacounselling.com
france,,VGCAzo9CBsRCpoZBrtbqawZCfPlD,legal services,linkedin.com/company/axone-droit-public,lyon,axone droit public,auvergne-rhône-alpes,1-10,
united kingdom,1982,EbOlOnQ92mAK3zstLEruEgbYd9lh,law practice,linkedin.com/company/st-pauls-chambers,leeds,st pauls chambers,england,11-50,stpaulschambers.com
united kingdom,2012,O7EU3Gy2W4cF73btfpcoxAgFGtc3,law practice,linkedin.com/company/angela-vodden-associates-consulting-ltd,preston,avac solicitors,england,1-10,
united states,,HXbDVMKo6HGJf8a3B7k7YQ83EX5m,maritime,linkedin.com/company/lawes-&-co-marine-consultants,pasadena,lawes & co. marine consultants,california,1-10,lawesmarine.com
australia,,l5JBlA79NYkfPqZhKp0arw918J4G,individual & family services,linkedin.com/company/melbourne-psychology-and-counselling,melbourne,melbourne psychology and counselling,victoria,1-10,melbournecounselling.org
